莆田市	Putian	福建省	CN	25.4394	119.0103
川崎市	Kawasaki	神奈川县	JP	35.5206	139.7172
戈亚尼亚	Goiania	戈亚斯州	BR	-16.6786	-49.2539
圣安东尼奥	San Antonio	得克萨斯州	US	29.4241	-98.4936
神户市	Kobe	兵库县	JP	34.6913	135.1830
斯德哥尔摩	Stockholm	Stockholm	SE	59.3294	18.0687
华雷斯城	Ciudad Juarez	奇瓦瓦州	MX	31.7202	-106.4608
芹苴市	Can Tho	Can Tho City	VN	10.0371	105.7883
慕尼黑	Munich	巴伐利亚州	DE	48.1374	11.5755
库尔纳市	Khulna	库尔纳专区	BD	22.8098	89.5644
贝伦	Belem	帕拉州	BR	-1.4558	-48.5044
叶卡捷琳堡	Yekaterinburg	斯维尔德洛夫斯克州	RU	56.8573	60.6153
阿雷格里港	Porto Alegre	Rio Grande do Sul	BR	-30.0328	-51.2302
银川市	Yinchuan	宁夏	CN	38.4681	106.2731
曼哈顿	Manhattan	纽约州	US	40.7834	-73.9663
纳西克	Nashik	马哈拉施特拉邦	IN	19.9973	73.7910
台州	Taizhou	浙江	CN	28.6627	121.4331
亚松森	Asuncion	Asuncion	PY	-25.2865	-57.6470
义乌	Yiwu	浙江	CN	29.3151	120.0768
萨波潘	Zapopan	哈利斯科州	MX	20.7211	-103.3874
Makassar	Makassar	South Sulawesi	ID	-5.1486	119.4319
阿德莱德	Adelaide	South Australia	AU	-34.9287	138.5986
泉州市	Quanzhou	福建省	CN	24.9139	118.5858
马杜赖	Madurai	泰米尔纳德邦	IN	9.9190	78.1195
金华	Jinhua	浙江	CN	29.1068	119.6442
京都	Kyoto	京都府	JP	35.0211	135.7538
Cixi	Cixi	浙江	CN	30.1764	121.2457
常德	Changde	湖南	CN	29.0321	111.6984
吉隆坡	Kuala Lumpur	Kuala Lumpur	MY	3.1412	101.6865
开塞利	Kayseri	开塞利省	TR	38.7322	35.4853
开封	Kaifeng	河南	CN	34.7986	114.3074
鞍山市	Anshan	辽宁	CN	41.1236	122.9900
卡拉季	Karaj	厄尔布尔士省	IR	35.8327	50.9915
加德满都	Kathmandu	Bagmati Province	NP	27.7017	85.3206
大田广域市	Daejeon	Daejeon	KR	36.3491	127.3849
宝鸡市	Baoji	陕西	CN	34.3678	107.2370
宿迁市	Suqian	江苏	CN	33.9492	118.2958
柳州	Liuzhou	广西	CN	24.3240	109.4070
蒂鲁内尔维利	Tirunelveli	泰米尔纳德邦	IN	8.7274	77.6838
科尼亚	Konya	科尼亚省	TR	37.8713	32.4846
张家港	Zhangjiagang	江苏	CN	31.8650	120.5389
阿格拉	Agra	北方邦	IN	27.1833	78.0167
South Tangerang	South Tangerang	万丹省	ID	-6.2886	106.7179
大不里士	Tabriz	东阿塞拜疆省	IR	38.0800	46.2919
哈尔科夫	Kharkiv	哈尔科夫州	UA	49.9818	36.2548
